resolution_key,entry,form,pdf_page,style,previous_line_id,next_line_id,left_fragment,right_fragment,printed,joined_candidate,hyphenated_candidate,previous_line_text,next_line_text,llm_suggestion,llm_resolved_text,llm_confidence,approved_resolution,review_status,notes
p0045-l0037|p0045-l0038|pengalih|ragam,alih,alih,45,bold_italic,p0045-l0037,p0045-l0038,pengalih,ragam,pengalih- ragam,pengalihragam,pengalih-ragam,formed. mengalih-ragamkan to transform s.t. pengalih-,ragam transformer. pengalih-ragaman transformation. – suara ,preserve_hyphen,pengalih-ragam,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0048-l0082|p0048-l0083|mengamang|amangi,amang,amang,48,bold,p0048-l0082,p0048-l0083,mengamang,amangi,mengamang- amangi,mengamangamangi,mengamang-amangi,"amang I mengamang(-amang), mengamangi, mengamang-",amangi and mengamangkan (cla) to menace/threaten (with a ,preserve_hyphen,mengamang-amangi,high,preserve_hyphen,approved,LLM draft: repeated/overlapping Indonesian form. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0052-l0020|p0052-l0021|stopping|off,ampir,ampir,52,roman,p0052-l0020,p0052-l0021,stopping,off,stopping- off,stoppingoff,stopping-off,ampir II (Jv) → HAMPIR. ampiran stopping off. tempat ~ stopping-,"off place, stopover.",preserve_hyphen,stopping-off,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0060-l0027|p0060-l0028|wind|blown,angin,keanginan,60,roman,p0060-l0027,p0060-l0028,wind,blown,wind- blown,windblown,wind-blown,"	 keanginan 1 to be exposed to (or, affected by) the wind; wind-",blown. 2 rumored about (news). 3 to become sick (of a ,preserve_hyphen,wind-blown,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0065-l0008|p0065-l0009|pen|cukil,antan,antan,65,italic,p0065-l0008,p0065-l0009,pen,cukil,pen- cukil,pencukil,pen-cukil,rains but it pours; misfortunes never come alone. seperti – pen-,cukil duri a Sisyphean task.,preserve_hyphen,pen-cukil,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0067-l0080|p0067-l0081|self|possessed,antér,antér,67,roman,p0067-l0080,p0067-l0081,self,possessed,self- possessed,selfpossessed,self-possessed,"antér (J) 1 quiet, serene. 2 calm, composed, tranquil, self-",possessed.,preserve_hyphen,self-possessed,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0070-l0011|p0070-l0012|plastic|plaited,anyam,anyaman,70,roman,p0070-l0011,p0070-l0012,plastic,plaited,plastic- plaited,plasticplaited,plastic-plaited,beranyaman to be plaited with. kursi yang ~ plastik plastic-,plaited chair. ,preserve_hyphen,plastic-plaited,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0072-l0063|p0072-l0064|pro|indonesian,Apodéti,Apodéti,72,roman,p0072-l0063,p0072-l0064,pro,Indonesian,pro- Indonesian,proIndonesian,pro-Indonesian,"Democratic Association of East Timor, i.e., the original pro-",Indonesian party of the former Portuguese Timor.,preserve_hyphen,pro-Indonesian,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0078-l0032|p0078-l0033|gluko|mat,asam,asam,78,italic,p0078-l0032,p0078-l0033,gluko,mat,gluko- mat,glukomat,gluko-mat,"– gelugur k.o. plant with sour fruit, Garcinia atroviridis. – gluko-","mat glucomic acid. – Jawa tamarind, Tamarindus indica. – jeruk ",remove_hyphen,glukomat,low,remove_hyphen,approved,LLM draft: same-style italic/small-cap text at a column wrap is more likely a split word or name; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0078-l0038|p0078-l0039|pith|ecelobium,asam,asam,78,italic,p0078-l0038,p0078-l0039,Pith,ecelobium,Pith- ecelobium,Pithecelobium,Pith-ecelobium,"lactic acid. – lambung gastric acid/juices. – landi k.o. tree, Pith-",ecelobium dulce. – lemak fatty acid. – lilin stearic acid. – limau ,remove_hyphen,Pithecelobium,low,remove_hyphen,approved,LLM draft: same-style italic/small-cap text at a column wrap is more likely a split word or name; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0078-l0041|p0078-l0042|pele|lah,asam,asam,78,italic,p0078-l0041,p0078-l0042,pele,lah,pele- lah,pelelah,pele-lah,acid. – Padang → ASAM kandis. – pekat concentrated acid. – pele-,"lah lactic acid. – pikrat picric acid. – puya an herbaceous plant, ",remove_hyphen,pelelah,low,remove_hyphen,approved,LLM draft: same-style italic/small-cap text at a column wrap is more likely a split word or name; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0078-l0079|p0078-l0080|keme|nyani,asap,asap,78,bold_italic,p0078-l0079,p0078-l0080,keme,nyani,keme- nyani,kemenyani,keme-nyani,expenses. – kemenyan fumes of incense. mengasap-keme-,nyani to praise. – mesiu gun smoke. – pelindung smoke screen. ,remove_hyphen,kemenyani,low,remove_hyphen,approved,LLM draft: a short unattested fragment in a bold form looks like a syllabic line break; review this morphology. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0081-l0087|p0081-l0088|insurance|mindedness,asuransi,berasuransi,81,roman,p0081-l0087,p0081-l0088,insurance,mindedness,insurance- mindedness,insurancemindedness,insurance-mindedness,"	 berasuransi to have insurance, be insured. kesadaran ~ insurance-",mindedness.,preserve_hyphen,insurance-mindedness,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0083-l0066|p0083-l0067|ketidak|beraturan,atur,beratur,83,bold_italic,p0083-l0066,p0083-l0067,ketidak,beraturan,ketidak- beraturan,ketidakberaturan,ketidak-beraturan,"~ baik-baik well-arranged. tidak ~ disorderly, messy. ketidak-","beraturan disorder, mess, untidiness.",preserve_hyphen,ketidak-beraturan,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0086-l0023|p0086-l0024|well|acquainted,awang,awang,86,roman,p0086-l0023,p0086-l0024,well,acquainted,well- acquainted,wellacquainted,well-acquainted,"awang III berawang to be a friend, be familiar with e.o., be well-",acquainted with e.o.,preserve_hyphen,well-acquainted,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0087-l0074|p0087-l0075|be|lorong,ayam,ayam,87,italic,p0087-l0074,p0087-l0075,be,lorong,be- lorong,belorong,be-lorong,"chicken. – belanda turkey, Meleagris gallopavo; → KALKUN. – be-","lorong white cock. – beroga red jungle fowl, Gallus gallus. – ber-",preserve_hyphen,be-lorong,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0090-l0091|p0090-l0092|coal|transport,Babaranjang,Babaranjang,90,roman,p0090-l0091,p0090-l0092,coal,transport,coal- transport,coaltransport,coal-transport,Babaranjang KA – [Keréta api batubara rangkaian panjang] coal-,transport train consisting of 32 vans and one administration car ,preserve_hyphen,coal-transport,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0090-l0119|p0090-l0120|land|clearing,babat,pembabatan,90,roman,p0090-l0119,p0090-l0120,land,clearing,land- clearing,landclearing,land-clearing,cutting down mahogany trees along the road. ~ hutan land-,clearing.,preserve_hyphen,land-clearing,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0091-l0084|p0091-l0085|reading|room,baca,baca,91,roman,p0091-l0084,p0091-l0085,reading,room,reading- room,readingroom,reading-room,camata – reading glasses. lampu – reading-lamp. ruang – reading-,room. tanda – punctuation mark. 2 read. Tujuh nyawa (baca: ,preserve_hyphen,reading-room,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0094-l0053|p0094-l0054|carry|on,bagasi,bagasi,94,roman,p0094-l0053,p0094-l0054,carry,on,carry- on,carryon,carry-on,"train). – cangkingan hand baggage, hand luggage. – jinjing carry-",on bag.,preserve_hyphen,carry-on,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0094-l0110|p0094-l0111|ket|erbagian,bagi,terbagi,94,bold,p0094-l0110,p0094-l0111,ket,erbagian,ket- erbagian,keterbagian,ket-erbagian,computer system. 2 divisible. (tidak) habis ~ (in)divisible. ket-,erbagian (math) divisibility. ,remove_hyphen,keterbagian,low,remove_hyphen,approved,LLM draft: a short unattested fragment in a bold form looks like a syllabic line break; review this morphology. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0096-l0066|p0096-l0067|upward|stretched,bahar,bahar,96,roman,p0096-l0066,p0096-l0067,upward,stretched,upward- stretched,upwardstretched,upward-stretched,bahar II (ob) linear measure (from the toes to the upward-,stretched fingers).,preserve_hyphen,upward-stretched,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0097-l0105|p0097-l0106|kusut|kusut,bahasa,bahasa,97,italic,p0097-l0105,p0097-l0106,kusut,kusut,kusut- kusut,kusutkusut,kusut-kusut,balut-balut –. His eyes are slightly bloodshot. Rambutnya kusut-,kusut –. His hair is slightly tangled.,preserve_hyphen,kusut-kusut,high,preserve_hyphen,approved,LLM draft: repeated/overlapping Indonesian form. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0100-l0032|p0100-l0033|one|piece,baju,baju,100,roman,p0100-l0032,p0100-l0033,one,piece,one- piece,onepiece,one-piece,waistcoat (crossed in front). – monyét a) coveralls. b) one-,piece child’s play suit. – monyét terusan coveralls (worn by ,preserve_hyphen,one-piece,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0100-l0097|p0100-l0098|hutan|hutan,bakal,bakal,100,italic,p0100-l0097,p0100-l0098,Hutan,hutan,Hutan- hutan,Hutanhutan,Hutan-hutan,you want to buy with that money? – siapa? for whom? Hutan-,hutan dirambah itu – persawahan. Those cleared forests are set ,preserve_hyphen,Hutan-hutan,high,preserve_hyphen,approved,LLM draft: repeated/overlapping Indonesian form. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0102-l0010|p0102-l0011|membaku|mutukan,baku,baku,102,bold_italic,p0102-l0010,p0102-l0011,membaku,mutukan,membaku- mutukan,membakumutukan,membaku-mutukan,sion. – emas gold standard. mutu standard of quality. membaku-,"mutukan to standardize the quality of, exercise quality control ",preserve_hyphen,membaku-mutukan,low,preserve_hyphen,approved,LLM draft: bold headword morphology may intentionally retain a hard hyphen; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0103-l0044|p0103-l0045|white|spotted,balar,balar,103,roman,p0103-l0044,p0103-l0045,white,spotted,white- spotted,whitespotted,white-spotted,"balar 1 albino (of buffaloes, elephants, persons); → BULÉ. 2 white-",spotted (of cattle). 3 light-colored (of eyes).,preserve_hyphen,white-spotted,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0104-l0023|p0104-l0024|mem|baliknamakan,balik,balik,104,bold_italic,p0104-l0023,p0104-l0024,mem,baliknamakan,mem- baliknamakan,membaliknamakan,mem-baliknamakan,– (men)jadi to change back into. – nama to transfer (title). mem-,baliknamakan to transfer title to. pembalik nama transfer ,remove_hyphen,membaliknamakan,low,remove_hyphen,approved,LLM draft: a short unattested fragment in a bold form looks like a syllabic line break; review this morphology. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0104-l0105|p0104-l0106|four|engined,baling baling-baling,baling baling-baling,104,roman,p0104-l0105,p0104-l0106,four,engined,four- engined,fourengined,four-engined,"with ... propellers, ...-engined. pesawat terbang ~ empat a four-",engined plane. ,preserve_hyphen,four-engined,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0105-l0008|p0105-l0009|fusco|guttatus,balong,balong,105,italic,p0105-l0008,p0105-l0009,fusco,guttatus,fusco- guttatus,fuscoguttatus,fusco-guttatus,"balong II k.o. fish, brown marbled grouper, Epinephelus fusco-",guttatus.,remove_hyphen,fuscoguttatus,low,remove_hyphen,approved,LLM draft: same-style italic/small-cap text at a column wrap is more likely a split word or name; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0105-l0033|p0105-l0034|water|spirit,balung,balung,105,roman,p0105-l0033,p0105-l0034,water,spirit,water- spirit,waterspirit,water-spirit,balung II (S) 1 cock’s comb. 2 (= hantu bidari) a mat-like water-,spirit that enfolds its victim.,preserve_hyphen,water-spirit,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0111-l0102|p0111-l0103|pembanting|stiran,banting,banting,111,bold_italic,p0111-l0102,p0111-l0103,pembanting,stiran,pembanting- stiran,pembantingstiran,pembanting-stiran,"policy, i.e., to replace old methods by new ones. pembanting-","stiran turning the wheel suddenly, reversing one’s policy, etc.",preserve_hyphen,pembanting-stiran,low,preserve_hyphen,approved,LLM draft: bold headword morphology may intentionally retain a hard hyphen; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0111-l0134|p0111-l0135|kepembantu|lakuan,bantu,bantu,111,bold_italic,p0111-l0134,p0111-l0135,kepembantu,lakuan,kepembantu- lakuan,kepembantulakuan,kepembantu-lakuan,"complicit. pembantu laku accomplice, accessory. kepembantu-",lakuan complicity. – tulis coauthorship. membantu tulis to co,preserve_hyphen,kepembantu-lakuan,low,preserve_hyphen,approved,LLM draft: bold headword morphology may intentionally retain a hard hyphen; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0114-l0001|p0114-l0002|pecah|belah,barang,barang,114,italic,p0114-l0001,p0114-l0002,pecah,belah,pecah- belah,pecahbelah,pecah-belah,habis expendable supplies. – palén small wares/goods. – pecah-,"belah/ pecahan earthenware, crockery, pottery. – pengganti sub",preserve_hyphen,pecah-belah,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0116-l0054|p0116-l0055|kebasah|léléhan,basah,basah,116,bold_italic,p0116-l0054,p0116-l0055,kebasah,léléhan,kebasah- léléhan,kebasahléléhan,kebasah-léléhan,to the knees. – lecap soaking wet. – léléh deliquescent. kebasah-,léléhan deliquescence. – léncong/lencun(g) soaking wet.,preserve_hyphen,kebasah-léléhan,low,preserve_hyphen,approved,LLM draft: bold headword morphology may intentionally retain a hard hyphen; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0116-l0085|p0116-l0086|to|date,basi,basi,116,roman,p0116-l0085,p0116-l0086,to,date,to- date,todate,to-date,cerita ini baik tetapi –. This news analysis is good but not up-to-,"date. 3 ineffective (of medicine/a charm, etc.). 4 smelly.",preserve_hyphen,to-date,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0118-l0077|p0118-l0078|ibu|anak,batih,batih,118,italic,p0118-l0077,p0118-l0078,ibu,anak,ibu- anak,ibuanak,ibu-anak,juga dikenal prinsip keluarga – (yang terdiri atas ayah-ibu-,"anak). In Japan the principle of a family consisting of father, ",preserve_hyphen,ibu-anak,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0122-l0036|p0122-l0037|terke|bawah,bawah,bawah,122,bold_italic,p0122-l0036,p0122-l0037,terke,bawah,terke- bawah,terkebawah,terke-bawah,"old) and under. mengebawahkan to lower, take down. terke-","bawah lowermost, bottommost. dari – from below/the bottom. ",preserve_hyphen,terke-bawah,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0124-l0030|p0124-l0031|title|to,BBKK,BBKK,124,roman,p0124-l0030,p0124-l0031,Title,To,Title- To,TitleTo,Title-To,BBKK [Béa Balik Nama Kendaraan Bermotor] Transfer-of-Title-,To-Motorized-Vehicle Fee.,preserve_hyphen,Title-To,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0124-l0060|p0124-l0061|kebéa|cukaian,béa,béa,124,bold_italic,p0124-l0060,p0124-l0061,kebéa,cukaian,kebéa- cukaian,kebéacukaian,kebéa-cukaian,transfer-of-title fee. – cukai [BC] customs and excises. kebéa-,cukaian the customs and excises field. satu kerjasama bidang ~ ,preserve_hyphen,kebéa-cukaian,low,preserve_hyphen,approved,LLM draft: bold headword morphology may intentionally retain a hard hyphen; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0125-l0028|p0125-l0029|membébas|murnikan,bébas,bébas,125,bold_italic,p0125-l0028,p0125-l0029,membébas,murnikan,membébas- murnikan,membébasmurnikan,membébas-murnikan,acquitted/exonerated from further prosecution. membébas-,murnikan to acquit/exonerate from further prosecution. Maje,preserve_hyphen,membébas-murnikan,low,preserve_hyphen,approved,LLM draft: bold headword morphology may intentionally retain a hard hyphen; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0126-l0042|p0126-l0043|man|driven,bécak,bécak,126,roman,p0126-l0042,p0126-l0043,man,driven,man- driven,mandriven,man-driven,son. 3 (coq) DC-3 aircraft. – air pedal-boat. – dayung man-,driven pedicab. – komplit (J) pedicab complete with prostitute ,preserve_hyphen,man-driven,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0126-l0094|p0126-l0095|ter|bédaan,béda,terbédakan,126,bold,p0126-l0094,p0126-l0095,ter,bédaan,ter- bédaan,terbédaan,ter-bédaan,	 terbédakan distinguishable. tak ~ undifferentiated. ketak-ter-,bédaan indistinguishability.,preserve_hyphen,ter-bédaan,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0129-l0045|p0129-l0046|dibekén|bekénkan,bekén,membekén-bekénkan,129,italic,p0129-l0045,p0129-l0046,dibekén,bekénkan,dibekén- bekénkan,dibekénbekénkan,dibekén-bekénkan,"yak penyanyi bekén, yang sesungguhnya tak perlu dibekén-",bekénkan lagi léwat penampangan wajah many well-known ,preserve_hyphen,dibekén-bekénkan,high,preserve_hyphen,approved,LLM draft: repeated/overlapping Indonesian form. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0130-l0052|p0130-l0053|membelah|hancurkan,belah,belah,130,bold_italic,p0130-l0052,p0130-l0053,membelah,hancurkan,membelah- hancurkan,membelahhancurkan,membelah-hancurkan,"cleavage. – hancur split and crushed, pulverized. membelah-","hancurkan to pulverize, devastate, etc. – hati heart lobe. – ",preserve_hyphen,membelah-hancurkan,low,preserve_hyphen,approved,LLM draft: bold headword morphology may intentionally retain a hard hyphen; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0132-l0132|p0132-l0133|mem|belas,belas,belas,132,bold_italic,p0132-l0132,p0132-l0133,mem,belas,mem- belas,membelas,mem-belas,tidak mau kau ~ kepadaku. I didn’t want you to pity me. mem-,"belas-kasihani to pity, be sorry for, commiserate with. Para ",preserve_hyphen,mem-belas,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0135-l0023|p0135-l0024|medan|tanjungmorawa,Belméra,Belméra,135,roman,p0135-l0023,p0135-l0024,Medan,Tanjungmorawa,Medan- Tanjungmorawa,MedanTanjungmorawa,Medan-Tanjungmorawa,Belméra [Belawan-Médan-Tanjungmorawa] the Belawan-Medan-,Tanjungmorawa toll road.,preserve_hyphen,Medan-Tanjungmorawa,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
